loja,origem_extracao,tipo_busca,prioridade_busca,busca_valor,ean,nome,marca,preco,link,status_busca,score_match,ean_entrada,nome_entrada,marca_entrada
cotodigital_ar,api,ean,1,7796613026003,7796613026003,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7796613026003,nao_indexado_na_busca,100,7796613026003,,
cotodigital_ar,api,ean,1,7796613026003,7796613026003,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7796613026003,nao_indexado_na_busca,100,7796613026003,,
cotodigital_ar,api,ean,1,7790070012050,7790070012050,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7790070012050,nao_indexado_na_busca,100,7790070012050,,
cotodigital_ar,api,ean,1,7790070012050,7790070012050,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7790070012050,nao_indexado_na_busca,100,7790070012050,,
cotodigital_ar,api,ean,1,7790060234868,7790060234868,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7790060234868,nao_indexado_na_busca,100,7790060234868,,
cotodigital_ar,api,ean,1,7790060234868,7790060234868,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7790060234868,nao_indexado_na_busca,100,7790060234868,,
cotodigital_ar,api,ean,1,7790070265371,7790070265371,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7790070265371,nao_indexado_na_busca,100,7790070265371,,
cotodigital_ar,api,ean,1,7790070265371,7790070265371,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7790070265371,nao_indexado_na_busca,100,7790070265371,,
cotodigital_ar,api,ean,1,7792180001665,7792180001665,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7792180001665,nao_indexado_na_busca,100,7792180001665,,
cotodigital_ar,api,ean,1,7792180001665,7792180001665,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7792180001665,nao_indexado_na_busca,100,7792180001665,,
cotodigital_ar,api,ean,1,7792180137937,7792180137937,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7792180137937,nao_indexado_na_busca,100,7792180137937,,
cotodigital_ar,api,ean,1,7792180137937,7792180137937,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7792180137937,nao_indexado_na_busca,100,7792180137937,,
cotodigital_ar,api,ean,1,7798316700808,7798316700808,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7798316700808,nao_indexado_na_busca,100,7798316700808,,
cotodigital_ar,api,ean,1,7798316700808,7798316700808,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7798316700808,nao_indexado_na_busca,100,7798316700808,,
cotodigital_ar,api,ean,1,7798316700815,7798316700815,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7798316700815,nao_indexado_na_busca,100,7798316700815,,
cotodigital_ar,api,ean,1,7798316700815,7798316700815,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7798316700815,nao_indexado_na_busca,100,7798316700815,,
cotodigital_ar,api,ean,1,7798316700891,7798316700891,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7798316700891,nao_indexado_na_busca,100,7798316700891,,
cotodigital_ar,api,ean,1,7798316700891,7798316700891,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7798316700891,nao_indexado_na_busca,100,7798316700891,,
cotodigital_ar,api,ean,1,7790272004112,7790272004112,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7790272004112,nao_indexado_na_busca,100,7790272004112,,
cotodigital_ar,api,ean,1,7790272001005,7790272001005,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7790272001005,nao_indexado_na_busca,100,7790272001005,,
cotodigital_ar,api,ean,1,7790272001005,7790272001005,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7790272001005,nao_indexado_na_busca,100,7790272001005,,
cotodigital_ar,api,ean,1,7790272004112,7790272004112,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7790272004112,nao_indexado_na_busca,100,7790272004112,,
cotodigital_ar,api,ean,1,7790070431431,7790070431431,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7790070431431,nao_indexado_na_busca,100,7790070431431,,
cotodigital_ar,api,ean,1,7790070431431,7790070431431,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7790070431431,nao_indexado_na_busca,100,7790070431431,,
cotodigital_ar,api,ean,1,7790503199082,7790503199082,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7790503199082,nao_indexado_na_busca,100,7790503199082,,
cotodigital_ar,api,ean,1,7790503199082,7790503199082,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7790503199082,nao_indexado_na_busca,100,7790503199082,,
cotodigital_ar,api,ean,1,7791120100208,7791120100208,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7791120100208,nao_indexado_na_busca,100,7791120100208,,
cotodigital_ar,api,ean,1,7791120100208,7791120100208,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7791120100208,nao_indexado_na_busca,100,7791120100208,,
cotodigital_ar,api,ean,1,7790387070019,7790387070019,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7790387070019,nao_indexado_na_busca,100,7790387070019,,
cotodigital_ar,api,ean,1,7790387070019,7790387070019,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7790387070019,nao_indexado_na_busca,100,7790387070019,,
cotodigital_ar,api,ean,1,7791120032554,7791120032554,,,,https://www.cotodigital.com.ar/sitios/cdigi/browse/_/N-1z141we?Ntt=7791120032554,nao_indexado_na_busca,100,7791120032554,,
cotodigital_ar,api,ean,1,7791120032554,7791120032554,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7791120032554,nao_indexado_na_busca,100,7791120032554,,
cotodigital_ar,api,ean,1,7791120032561,7791120032561,,,,https://www.cotodigital.com.ar/sitios/cdigi/categoria?_dyncharset=utf-8&Dy=1&Ntt=7791120032561,nao_indexado_na_busca,100,7791120032561,,
