loja,ean,sku,nome,marca,precoDe,precoPor,oferta,print_tela_path,link
masonline,4005900399953,189507,Loción Corporal Nivea Cereza Y Aceite De Jojoba Para Piel Normal A Seca 400ml,Nivea,12079.00,,,,https://www.masonline.com.ar/locion-corporal-nivea-cereza-y-aceite-de-jojoba-400ml-2/p
masonline,4005900528223,128696,Crema Multipropósito Hidratante Nivea Men Creme Para Todo Tipo De Piel 150ml,Nivea Men,7289.00,,,,https://www.masonline.com.ar/crema-lata-nivea-men-face-care-150ml-2/p
masonline,4005900718556,188392,Crema De Manos Antiarrugas Nivea Q10 3 En 1 Para Piel Normal A Seca X 100 Ml,Nivea,5789.00,,,,https://www.masonline.com.ar/crema-de-manos-antiarrugas-nivea-q10-3-en-1-100ml-2/p
masonline,4005900954541,222904,Loción Corporal Autobronceante + Reafirmante Nivea Q10 Para Uso Diario X 400 Ml,Nivea,27789.00,,,,https://www.masonline.com.ar/crema-corporal-nivea-autobronceante-q10-x400ml-2/p
masonline,4005808979813,3348,Desodorante Antit Invisible B&W Clear Nivea 150 Ml,Nivea,4489.00,,,,https://www.masonline.com.ar/desodorante-antit-invisible-b-w-clear-nivea-150-ml-2/p
masonline,4006000244396,246677,Bálsamo Labial Nivea Peach Tea 4.8 G,Nivea,5949.00,,,,https://www.masonline.com.ar/balsamo-labial-nivea-peach-tea-4-8-g/p
masonline,7791969850777,221958,"Protector Labial Humectante Nivea Cherry Shine Para Todo Tipo De Piel 4,8 G",Nivea,6149.00,,,,https://www.masonline.com.ar/protector-labial-humectante-nivea-cherry-shine-4-8-g-2/p
masonline,4005900353054,34383,Desodorante Antitranspirante Nivea Men Protect & Care Spray 150 Ml,Nivea Men,4489.00,,,,https://www.masonline.com.ar/desodorante-aero-protect-care-nivea-men-150-ml-2/p
masonline,4005900399946,214114,Loción Corporal Nivea Coco Y Aceite De Monoi Para Piel Normal A Seca 400 Ml,Nivea,12079.00,,,,https://www.masonline.com.ar/crema-corporal-nivea-vainilla-aceite-de-almendras-400ml-2/p
masonline,4006000016740,214935,Protector Solar Nivea Sun Babies & Kids Sensitive 5 En 1 Fps 65 Piel Sensible 200 Ml,Nivea Sun,24639.00,,,,https://www.masonline.com.ar/protector-solar-nivea-sun-babies-kids-sensitive-5-en-1-fps60-200ml-2/p
masonline,4005900683830,140986,Jabón Humectante Nivea Avena 3x125g,Nivea,5129.00,,,,https://www.masonline.com.ar/jabon-humectante-avena-nivea-3-u-2/p
