loja,ean,sku,nome,marca,precoDe,precoPor,oferta,desconto_percentual,print_tela_path,link
jumbo_ar,7790580152093,3072013,Caramelos Butter Toffees Leche 80 Grs Arcor,Arcor,"$ 2.100,00",,,,,https://www.jumbo.com.ar/7790580152093?_q=7790580152093&map=ft
jumbo_ar,7790580152109,3072014,Caramelos Butter Toffees Chocolate 80 Grs Arcor,Arcor,"$ 1.700,00",,,,,https://www.jumbo.com.ar/7790580152109?_q=7790580152109&map=ft
jumbo_ar,7790580152130,3072018,Caramelos Rellenos Frutales 80 Grs Arcor,Arcor,"$ 1.700,00",,,,,https://www.jumbo.com.ar/7790580152130?_q=7790580152130&map=ft
jumbo_ar,7790580152123,3072017,Caramelos Menta Chocolate 80 Grs Arcor,Arcor,"$ 1.700,00",,,,,https://www.jumbo.com.ar/7790580152123?_q=7790580152123&map=ft
jumbo_ar,7790580152147,3072016,Caramelos Rellenos Miel 80 Grs Arcor,Arcor,"$ 1.600,00",,,,,https://www.jumbo.com.ar/7790580152147?_q=7790580152147&map=ft
jumbo_ar,7790580152215,3072060,Anillos Mogul X 80 Gr Arcor,Arcor,"$ 1.650,00",,,,,https://www.jumbo.com.ar/7790580152215?_q=7790580152215&map=ft
jumbo_ar,7790580152222,3072061,Eucaliptus Mogul X 80 Gr Arcor,Arcor,"$ 1.650,00",,,,,https://www.jumbo.com.ar/7790580152222?_q=7790580152222&map=ft
jumbo_ar,7790580152246,3072057,Jelly Button Mogul X 80 Gr Arcor,Arcor,"$ 1.650,00",,,,,https://www.jumbo.com.ar/7790580152246?_q=7790580152246&map=ft
jumbo_ar,7790580199913,32659,Gomitas Mogul Ositos 30 Gr,Gomitas,"$ 900,00",,,,,https://www.jumbo.com.ar/7790580199913?_q=7790580199913&map=ft
jumbo_ar,7790580252908,683,Chupetines Mr. Pops Frutal 125 Gr,Chupetines,"$ 2.250,00",,,,,https://www.jumbo.com.ar/7790580252908?_q=7790580252908&map=ft
jumbo_ar,7790580346515,19740,Obleas Bon O Bon Bañadas En Chocolate Con Leche 30 Gr,Obleas,"$ 1.400,00",,,,,https://www.jumbo.com.ar/7790580346515?_q=7790580346515&map=ft
jumbo_ar,7790580346614,19847,Obleas Bañadas En Chocolate Blanco Bon O Bon 30 Gr,Obleas,"$ 1.400,00",,,,,https://www.jumbo.com.ar/7790580346614?_q=7790580346614&map=ft
jumbo_ar,7790580454210,37459,Helado Balde Arcor Chocolate Vainilla Y Dulce De Leche 1 L,Arcor,"$ 18.300,00",,,,,https://www.jumbo.com.ar/7790580454210?_q=7790580454210&map=ft
jumbo_ar,7790580567903,19771,Tomate Perita En Lata Arcor 400 Gr,Arcor,"$ 1.450,00",,,,,https://www.jumbo.com.ar/7790580567903?_q=7790580567903&map=ft
jumbo_ar,7790580607210,13405,Chocolate Arcor Con Leche 25 Gr,Arcor,"$ 1.500,00",,,,,https://www.jumbo.com.ar/7790580607210?_q=7790580607210&map=ft
jumbo_ar,7790580602000,5840,Gomitas Arcor Mogul Rollo 12 Gr,Arcor,"$ 850,00",,,,,https://www.jumbo.com.ar/7790580602000?_q=7790580602000&map=ft
jumbo_ar,7790580650919,40645,Pulpa De Tomate Suave Arcor 530 Gr,Arcor,"$ 950,00",,,,,https://www.jumbo.com.ar/7790580650919?_q=7790580650919&map=ft
jumbo_ar,7790580697303,3065353,Snacks Salados Sabor Pizza 100 Grs Saladix,Ala,"$ 1.700,00",,,,,https://www.jumbo.com.ar/7790580697303?_q=7790580697303&map=ft
jumbo_ar,7790580716707,3065352,Snacks Salados Sabor Jamón 100 Grs Saladix,Ala,"$ 1.700,00",,,,,https://www.jumbo.com.ar/7790580716707?_q=7790580716707&map=ft
